,Aquila,Acts 18:2,eb17,"man: eat,food,meal: mouth,said,speak,confession: thing"
,Ar,Num 21:15,e3a2,"Awake: end,finish: sleep,rest,lie_down: person: village: many,much: neighbor: house: near,close"
,Ara,1 Chron 7:38,e75e,man: good: hand
,Arab,Josh 15:52,e4d6,"hide: put,put_verb: hand: under: thing: .: village: many,much: neighbor: house: near,close"
,Arabia,Gal 1:17,eb77,"land,ground,earth,space: wilderness,desert: no,not: tree,plant,wood"
,Arad_man,1 Chr 8:15,e3a3,"Man: donkey: small,few: horse"
,Arad_village,Num 33:40,e3e7,"Donkey: small,few: horse: village: many,much: neighbor: house: near,close"
,Arah_land,Josh 13:4,e545,"ox: very: animal: land,ground,earth,space"
,Arah_man,1 Chron 7:39,e75f,man: ox: very: animal
,Aram_man,Gen 10:22,edb4,Man: big
,Aran,Gen 36:28,e0fa,"Man: small,few: goat: sheep: soft: bone"
,Ararat,Gen 8:4,edb5,"Accuse: mouth,said,speak,confession: bad; no,not; good: mountain"
,Archippus,Col 4:17,ece7,Man: good: horse
,Ard,Gen 46:21,e0ff,"Man: many,much: child: small,few: person"
,Ardon,1 Chron 2:18,e760,"man: or: bad: no,not: good"
,Areli,Gen 46:16,efac,"Man: beast: animal: bad: no,not: good"
,Areopagus,Acts 17:19,ec35,"council: body: lead,leader,manage: forward,to: person: hill: small,few: mountain"
,Aretas,2 Cor 11:32,eca6,"Man: big: war,fight,battle: sword"
,Argob_land,Deut 3:4,e495,"fat_animal: animal: water,wet: land.ground,earth,space"
,Argob_man,2 Kgs 15:25,e71e,
,argument,,e057,"mouth,said,speak,confession: wild: no,not: peace: sleep,rest,lie_down: person: love,compassion"
,Arieh,2 Kgs 15:25,e6a3,
,Arimathea,Matt 27:57,e34d,"cross: tomb,grave: house: dead,death,die: no,not: heart: village: many,much: neighbor: house: near,close"
,Arioch,Gen  14:1,edb6,Man: lion: hair: face: animal
,arise,,e322,Up: straight
,Aristarchus,Acts 20:3,ec10,"man: good: king,ruler,lord,master"
,Aristobulus,Rom 16:10,ebbc,"man: according_to: same,equal: mouth,said,speak,confession"
,Arkites,Gen 10:17,edb7,Run: walk: very: people
,arm,,e14e,big
,Armoni,2 Sam 21:8,e752,"man: me,I: house"
,armor,,ebbd,metal: body: person
,Arnan,1 Chron 3:21,e704,"man: fast_speed: very forward,to"
,Arni,Luke 3:33,ec52,"man: good: happy,joy: face"
,Arnon,Num 21:13,e2f5,"Shout: big: mouth,said,speak,confession: river,stream"
,Arodi,Gen 46:16,e168,"Man: smallest,least: very: donkey: small,few: horse"
,Aroer,Num 32:34,e3c5,"No,not: people: village: many,much: neighbor: house: near,close"
,around,,e31b,
,Arpad,2 Kgs 18:34,e615,"very: light: eye,see: sun,day; village: many,much: neighbor: house: near,close"
,Arphaxad,Luke 3:36,ec53,"man: no,not: hand"
,arrow,,ecbf,"Throw: knife,cut"
,Artemas,Acts 19:24,ec34,"man: complete,perfect: very: all,whole"
,Arumah,Judg 9:40,e56f,"lift: hand: up: land,ground,earth,space"
,Arvad,Gen 10:18,edb8,"Fast_speed: very: forward,to: land,ground,earth,space"
,Arza,1 Kgs 16:9,e690,"man: tree,plant,wood: snake"
,Asa,Matt 1:7,ea5c,"man: very: heal: hand: health,healthy: happy,joy: face: heart"
,Asahel,2 Sam 2:18,e6d4,man: sew: hand: person
,Asaiah,1 Chr 9:5,e5f9,"man: make,create: hand: person"
,Asaph,1 Chr 9:19,e5fa,"man: bring,carry,take: hand: thing"
,Asarel,1 Chron 4:16,e705,"man: spirit: no,not: person: mouth,said,speak,confession"
,Asenath,Gen 41:45,efad,"woman: trouble: heart: bad: no,not: good"
,ash,,ea90,"Bad: no,not: good: air"
,ashamed,,e05f,"quiet,silence: no,not: afraid,fear,worry: mouth,said,speak,confession: heart"
,Ashan,Josh 15:42,e4d7,"smoke: soft: fire,hot,heat: village: many,much: neighbor: house: near,close"
,Ashbel,Gen 46:21,efae,"Man: eat,food,meal: mouth,said,speak,confession: thing: fire,heat,hot"
,Ashdod,Josh 11:22,e451,"bring,carry,take: hand: thing: village: many,much: neighbor: house: near,close"
,Asher_land,Josh 17:7,e606,"small,few: happy,joy; face: land,ground,earth,space"
,Asher_man,Gen 30:13,ebde,"Man: happy,joy: face"
,Asherah,Exod 34:13,e0bc,"Idol: mute: mouth,said,speak: no,not: thing: tree,plant,wood"
,Ashhur,1 Chr 2:24 1 Chr 2:24,ebdd,"Man: happy,joy: face: land,ground,earth,space"
,Ashkelon,Judg 1:18,e452,"fire,heat,hot: village: many,much: neighbor: house: near,close"
,Ashkelon,Judg 14:19,e570,"heavy: hand: big: measure: village: many,much: neighbor: house: near,close"
,Ashkenaz,Gen 10:3,edb9,"Man: cold: no,not: fire,heat,hot"
,Ashnah,Josh 15:33,e4d8,"change,turn: village: many,much: neighbor: house: near,close"
,Ashtiroth_Karnaim,Josh 9:10 Gen 14:5,edba,"small,few: cow: village: many: neighbor: house: near"
,Ashur_land,Josh 17:7,e0ef,"Black: color: moon,night: land,ground,earth,space"
,Ashur_man,Gen 10:22,edbb,"Man: black: color: moon,night"
,Ashvath,1 Chron 7:33,e761,"man: work,do: iron: hard: soft: no,not: metal"
,Asia,Acts 6:9,eb6f,"direction: land,ground,earth,space"
,Asiel,1 Chron 4:35,e706,"man: spirit: no,not: person: hand"
,Asriel,Num 26:31,e3a4,"Man: chain,bound,arrest,imprisoned"
,Asshurites,Gen 25:3,e1ef,"Many,much: war,battle,fight: sword: people"
,Assir,Exod 6:24,e2bf,"Man: prison: house: chain,bound,arrest,imprisoned"
,Assos,Acts 20:13,eb20,"near,close: village: many,much: neighbor: house: near,close"
,assurance,,e070,"know,knowledge:"
,Assyria,Gen 10:11,edbc,"grow,growth,ripen: up: land,ground,earth,space"
,Asyncritius,Rom 16:14,ebbe,"man: go,travel,trip,journey"
,Atad,Gen 50:10,efaf,"skull: bone: head: face; village: many,much: neighbor: house: near,close"
,Atarah,1 Chron 2:25,e762,woman: above: up: thing
,Ataroth,Num 32:3,e3c6,"Crown: thing: king,ruler,lord,master: cow: land,ground,earth,space"
,Ataroth_Addar,Josh 16:5,e465,"king,lord,ruler,master: village: many,much: neighbor: house: near,close"
,Ataroth_Shophan,Num 32:35,e3c7,"Cover: straight: thing: land,ground,earth,space"
,Athaliah_man,1 Chr 8:26,e663,"man: time,when"
,Athaliah_woman,2 Kgs 11:1,e616,"woman: time,when"
,Atharim,Num 21:1,e3a5,"Spy: eye,see: mute: mouth,said,speak,confession: no,not: person: road,path,way"
,Athens,Acts 17:15,eb07,"ignorant,ignorance: know,knowledge: no,not: village: many,much: neighbor: house: near,close"
,Attai,2 Chron 11:20,e750,
,Attalia,Acts 14:25,eb31,"time,when: village: many,much: neighbor: house: near,close"
,authority,,e034,"King,ruler,lord,master: mouth,said,speak,confession"
